Serial No.,note_pitch,baseline_time,altered_time
0,54,0.0,0.0
1,54,0.4,0.41583333333333333
2,55,0.8,0.8708333333333333
3,57,1.2000000000000002,1.2708333333333335
4,57,1.6,1.71875
5,55,2.0,1.9666666666666668
6,54,2.4000000000000004,2.4108333333333336
7,52,2.8000000000000003,2.8158333333333334
8,50,3.2,3.2158333333333333
9,50,3.6,3.651666666666667
10,52,4.0,4.051666666666667
11,54,4.4,4.496666666666667
12,54,4.800000000000001,4.896666666666667
13,52,5.4,5.496666666666667
14,52,5.6000000000000005,5.74
15,54,6.4,6.496666666666667
16,54,6.800000000000001,6.896666666666667
17,55,7.2,7.296666666666667
18,57,7.6000000000000005,7.696666666666667
19,57,8.0,8.096666666666668
20,55,8.4,8.496666666666668
21,54,8.8,8.896666666666667
22,52,9.200000000000001,9.296666666666667
23,50,9.600000000000001,9.696666666666667
24,50,10.0,10.096666666666668
25,52,10.4,10.496666666666668
26,54,10.8,10.896666666666667
27,52,11.200000000000001,11.296666666666667
28,50,11.8,11.896666666666668
29,50,12.0,12.591666666666667
30,52,12.8,12.896666666666668
31,52,13.200000000000001,13.296666666666667
32,54,13.600000000000001,13.696666666666667
33,50,14.000000000000002,14.096666666666668
34,52,14.4,14.496666666666668
35,54,14.8,14.960833333333333
36,55,15.000000000000002,15.292916666666668
37,54,15.200000000000001,15.492916666666668
38,50,15.600000000000001,15.892916666666668
39,52,16.0,16.292916666666667
40,54,16.400000000000002,16.69291666666667
41,55,16.6,16.892916666666668
42,54,16.8,17.092916666666667
43,52,17.200000000000003,17.49291666666667
44,50,17.6,17.892916666666668
45,52,18.0,18.292916666666667
46,45,18.400000000000002,18.69291666666667
47,54,18.8,19.092916666666667
48,54,19.6,19.892916666666668
49,55,20.0,20.292916666666667
50,57,20.400000000000002,20.69291666666667
51,57,20.8,21.092916666666667
52,55,21.200000000000003,21.33666666666667
53,54,21.6,21.636666666666667
54,52,22.0,22.136666666666667
55,50,22.400000000000002,22.69291666666667
56,50,22.8,23.092916666666667
57,52,23.200000000000003,23.49291666666667
58,54,23.6,23.892916666666668
59,52,24.0,24.292916666666667
60,50,24.6,24.892916666666668
61,50,24.8,25.092916666666667
