,alignment_error,accompaniment_error,total_error
0,0.0,0.192,0.19200000166893005
1,0.09600019454956055,0.19199991,0.28800010681152344
2,1.2159996032714844,-1.0879993,0.12800025939941406
3,-0.2239999771118164,0.19200039,-0.03199958801269531
4,0.3840007781982422,-0.3200016,0.06399917602539062
5,-3.3600006103515625,3.264,-0.09600067138671875
6,0.06399917602539062,-0.5759983,-0.5119991302490234
7,-3.6800003051757812,3.776001,0.09600067138671875
8,-3.5839996337890625,2.2399998,-1.3439998626708984
9,-1.9519996643066406,-0.83200073,-2.7840003967285156
10,-0.06399917602539062,-4.4160004,-4.479999542236328
11,0.032001495361328125,-5.9519997,-5.9199981689453125
12,0.12799835205078125,-7.487999,-7.3600006103515625
13,0.4799995422363281,-7.487999,-7.007999420166016
14,0.06399917602539062,-6.975998,-6.911998748779297
15,-0.09600067138671875,-6.4640007,-6.560001373291016
16,-0.2560005187988281,-6.4640007,-6.720001220703125
17,-0.6719970703125,-7.488003,-8.15999984741211
18,-0.06400299072265625,-9.727997,-9.791999816894531
19,0.0319976806640625,-11.519997,-11.487998962402344
20,-1.66400146484375,-11.519997,-13.183998107910156
21,-0.0319976806640625,-14.592003,-14.624000549316406
22,-0.1920013427734375,-16.383995,-16.57599639892578
23,-0.608001708984375,-17.664001,-18.272003173828125
24,-0.2559967041015625,-19.712006,-19.968002319335938
25,0.09600067138671875,-21.760002,-21.66400146484375
26,-0.31999969482421875,-23.04,-23.360000610351562
27,-0.2239990234375,-24.767998,-24.99199676513672
28,-1.66400146484375,-24.832,-26.496002197265625
29,-0.28800201416015625,-26.495995,-26.78399658203125
30,-0.1920013427734375,-26.496002,-26.688003540039062
31,-0.09600067138671875,-26.751999,-26.847999572753906
32,0.0,-26.751999,-26.751998901367188
33,0.0959930419921875,-26.751991,-26.65599822998047
34,-0.063995361328125,-26.752007,-26.816001892089844
35,0.0319976806640625,-26.751999,-26.720001220703125
