,live_measure_onsets,ref_measure_onsets,estimated_measure_onsets,accompanist_measure_onsets
0,0.0,0,0.0,0.192
1,4.096,4,4.096,4.288
2,7.936,8,9.216,8.128
3,11.776,12,11.776,11.968
4,15.872,16,16.384,16.064
5,19.712,20,16.64,19.904
6,23.296,24,24.064,23.488
7,27.904,28,24.32,28.096
8,30.464,32,28.416,30.656
9,33.024,36,34.048,33.216
10,35.328,40,39.936,35.52
11,37.888,44,44.032,38.08
12,40.448,48,48.128,40.64
13,44.8,52,52.48,44.992
14,48.896,56,56.064,49.088
15,53.248,60,59.904,53.44
16,57.088,64,63.744,57.28
17,59.648,68,67.328,59.84
18,61.952,72,71.936,62.208
19,64.256,76,76.032,64.512
20,66.56,80,78.336,66.816
21,69.12,84,83.968,69.376
22,71.168,88,87.808,71.424
23,73.472,92,91.392,73.728
24,75.776,96,95.744,76.032
25,78.08,100,100.096,78.336
26,80.384,104,103.68,80.64
27,82.688,108,107.776,83.008
28,85.248,112,110.336,85.504
29,89.088,116,115.712,89.216
30,93.184,120,119.808,93.312
31,97.024,124,123.904,97.152
32,101.12,128,128.0,101.248
33,105.216,132,132.096,105.344
34,109.056,136,135.936,109.184
35,113.152,140,140.032,113.28
